# file...... theat_record.csv
# date...... Fri Feb 22 13:35:06 2013
# user...... Antonia
# host...... (null)
# target.... house 0
# trigger... (none)
# interval.. 5
# limit..... 480
# timestamp,air_temperature,cooling_setpoint
2013-02-22 03:53:46 PST,+63.5072,+90
2013-02-22 03:53:51 PST,+63.5098,+90
2013-02-22 03:53:56 PST,+63.5123,+90
2013-02-22 03:54:01 PST,+63.5148,+90
2013-02-22 03:54:06 PST,+63.5174,+90
2013-02-22 03:54:11 PST,+63.5199,+90
2013-02-22 03:54:16 PST,+63.5224,+90
2013-02-22 03:54:21 PST,+63.5249,+90
2013-02-22 03:54:26 PST,+63.5275,+90
2013-02-22 03:54:31 PST,+63.53,+90
2013-02-22 03:54:36 PST,+63.5325,+90
2013-02-22 03:54:41 PST,+63.535,+90
2013-02-22 03:54:46 PST,+63.5375,+90
2013-02-22 03:54:51 PST,+63.54,+90
2013-02-22 03:54:56 PST,+63.5425,+90
2013-02-22 03:55:01 PST,+63.545,+90
2013-02-22 03:55:06 PST,+63.5474,+90
2013-02-22 03:55:11 PST,+63.5499,+90
2013-02-22 03:55:16 PST,+63.5524,+90
2013-02-22 03:55:21 PST,+63.5549,+90
2013-02-22 03:55:26 PST,+63.5574,+90
2013-02-22 03:55:31 PST,+63.5598,+90
2013-02-22 03:55:36 PST,+63.5623,+90
2013-02-22 03:55:41 PST,+63.5647,+90
2013-02-22 03:55:46 PST,+63.5672,+90
2013-02-22 03:55:51 PST,+63.5697,+90
2013-02-22 03:55:56 PST,+63.5721,+90
2013-02-22 03:56:01 PST,+63.5746,+90
2013-02-22 03:56:06 PST,+63.577,+90
2013-02-22 03:56:11 PST,+63.5795,+90
2013-02-22 03:56:16 PST,+63.5819,+90
2013-02-22 03:56:21 PST,+63.5843,+90
2013-02-22 03:56:26 PST,+63.5868,+90
2013-02-22 03:56:31 PST,+63.5892,+90
2013-02-22 03:56:36 PST,+63.5916,+90
2013-02-22 03:56:41 PST,+63.5941,+90
2013-02-22 03:56:46 PST,+63.5965,+90
2013-02-22 03:56:51 PST,+63.5989,+90
2013-02-22 03:56:56 PST,+63.6013,+90
2013-02-22 03:57:01 PST,+63.6037,+90
2013-02-22 03:57:06 PST,+63.6062,+90
2013-02-22 03:57:11 PST,+63.6086,+90
2013-02-22 03:57:16 PST,+63.611,+90
2013-02-22 03:57:21 PST,+63.6134,+90
2013-02-22 03:57:26 PST,+63.6158,+90
2013-02-22 03:57:31 PST,+63.6182,+90
2013-02-22 03:57:36 PST,+63.6206,+90
2013-02-22 03:57:41 PST,+63.623,+90
2013-02-22 03:57:46 PST,+63.6254,+90
2013-02-22 03:57:51 PST,+63.6278,+90
2013-02-22 03:57:56 PST,+63.6302,+90
2013-02-22 03:58:01 PST,+63.6326,+90
2013-02-22 03:58:06 PST,+63.635,+90
2013-02-22 03:58:11 PST,+63.6373,+90
2013-02-22 03:58:16 PST,+63.6397,+90
2013-02-22 03:58:21 PST,+63.6421,+90
2013-02-22 03:58:26 PST,+63.6445,+90
2013-02-22 03:58:31 PST,+63.6469,+90
2013-02-22 03:58:36 PST,+63.6492,+90
2013-02-22 03:58:41 PST,+63.6516,+90
2013-02-22 03:58:46 PST,+63.654,+90
2013-02-22 03:58:51 PST,+63.6563,+90
2013-02-22 03:58:56 PST,+63.6587,+90
2013-02-22 03:59:01 PST,+63.6611,+90
2013-02-22 03:59:06 PST,+63.6634,+90
2013-02-22 03:59:11 PST,+63.6658,+90
2013-02-22 03:59:16 PST,+63.6682,+90
2013-02-22 03:59:21 PST,+63.6705,+90
2013-02-22 03:59:26 PST,+63.6729,+90
2013-02-22 03:59:31 PST,+63.6752,+90
2013-02-22 03:59:36 PST,+63.6776,+90
2013-02-22 03:59:41 PST,+63.6799,+90
2013-02-22 03:59:46 PST,+63.6823,+90
2013-02-22 03:59:51 PST,+63.6846,+90
2013-02-22 03:59:56 PST,+63.687,+90
2013-02-22 04:00:01 PST,+63.6894,+90
2013-02-22 04:00:06 PST,+63.6919,+90
2013-02-22 04:00:11 PST,+63.6944,+90
2013-02-22 04:00:16 PST,+63.6969,+90
2013-02-22 04:00:21 PST,+63.6995,+90
2013-02-22 04:00:26 PST,+63.702,+90
2013-02-22 04:00:31 PST,+63.7045,+90
2013-02-22 04:00:36 PST,+63.707,+90
2013-02-22 04:00:41 PST,+63.7095,+90
2013-02-22 04:00:46 PST,+63.712,+90
2013-02-22 04:00:51 PST,+63.7145,+90
2013-02-22 04:00:56 PST,+63.717,+90
2013-02-22 04:01:01 PST,+63.7195,+90
2013-02-22 04:01:06 PST,+63.722,+90
2013-02-22 04:01:11 PST,+63.7245,+90
2013-02-22 04:01:16 PST,+63.727,+90
2013-02-22 04:01:21 PST,+63.7295,+90
2013-02-22 04:01:26 PST,+63.732,+90
2013-02-22 04:01:31 PST,+63.7345,+90
2013-02-22 04:01:36 PST,+63.7369,+90
2013-02-22 04:01:41 PST,+63.7394,+90
2013-02-22 04:01:46 PST,+63.7419,+90
2013-02-22 04:01:51 PST,+63.7444,+90
2013-02-22 04:01:56 PST,+63.7468,+90
2013-02-22 04:02:01 PST,+63.7493,+90
2013-02-22 04:02:06 PST,+63.7518,+90
2013-02-22 04:02:11 PST,+63.7542,+90
2013-02-22 04:02:16 PST,+63.7567,+90
2013-02-22 04:02:21 PST,+63.7591,+90
2013-02-22 04:02:26 PST,+63.7616,+90
2013-02-22 04:02:31 PST,+63.764,+90
2013-02-22 04:02:36 PST,+63.7665,+90
2013-02-22 04:02:41 PST,+63.7689,+90
2013-02-22 04:02:46 PST,+63.7714,+90
2013-02-22 04:02:51 PST,+63.7738,+90
2013-02-22 04:02:56 PST,+63.7763,+90
2013-02-22 04:03:01 PST,+63.7787,+90
2013-02-22 04:03:06 PST,+63.7811,+90
2013-02-22 04:03:11 PST,+63.7836,+90
2013-02-22 04:03:16 PST,+63.786,+90
2013-02-22 04:03:21 PST,+63.7884,+90
2013-02-22 04:03:26 PST,+63.7909,+90
2013-02-22 04:03:31 PST,+63.7933,+90
2013-02-22 04:03:36 PST,+63.7957,+90
2013-02-22 04:03:41 PST,+63.7981,+90
2013-02-22 04:03:46 PST,+63.8005,+90
2013-02-22 04:03:51 PST,+63.803,+90
2013-02-22 04:03:56 PST,+63.8054,+90
2013-02-22 04:04:01 PST,+63.8078,+90
2013-02-22 04:04:06 PST,+63.8102,+90
2013-02-22 04:04:11 PST,+63.8126,+90
2013-02-22 04:04:16 PST,+63.815,+90
2013-02-22 04:04:21 PST,+63.8174,+90
2013-02-22 04:04:26 PST,+63.8198,+90
2013-02-22 04:04:31 PST,+63.8222,+90
2013-02-22 04:04:36 PST,+63.8246,+90
2013-02-22 04:04:41 PST,+63.827,+90
2013-02-22 04:04:46 PST,+63.8294,+90
2013-02-22 04:04:51 PST,+63.8318,+90
2013-02-22 04:04:56 PST,+63.8342,+90
2013-02-22 04:05:01 PST,+63.8366,+90
2013-02-22 04:05:06 PST,+63.839,+90
2013-02-22 04:05:11 PST,+63.8414,+90
2013-02-22 04:05:16 PST,+63.8438,+90
2013-02-22 04:05:21 PST,+63.8462,+90
2013-02-22 04:05:26 PST,+63.8486,+90
2013-02-22 04:05:31 PST,+63.851,+90
2013-02-22 04:05:36 PST,+63.8533,+90
2013-02-22 04:05:41 PST,+63.8557,+90
2013-02-22 04:05:46 PST,+63.8581,+90
2013-02-22 04:05:51 PST,+63.8605,+90
2013-02-22 04:05:56 PST,+63.8629,+90
2013-02-22 04:06:01 PST,+63.8652,+90
2013-02-22 04:06:06 PST,+63.8676,+90
2013-02-22 04:06:11 PST,+63.87,+90
2013-02-22 04:06:16 PST,+63.8724,+90
2013-02-22 04:06:21 PST,+63.8747,+90
2013-02-22 04:06:26 PST,+63.8771,+90
2013-02-22 04:06:31 PST,+63.8795,+90
2013-02-22 04:06:36 PST,+63.8818,+90
2013-02-22 04:06:41 PST,+63.8842,+90
2013-02-22 04:06:46 PST,+63.8866,+90
2013-02-22 04:06:51 PST,+63.8889,+90
2013-02-22 04:06:56 PST,+63.8913,+90
2013-02-22 04:07:01 PST,+63.8937,+90
2013-02-22 04:07:06 PST,+63.896,+90
2013-02-22 04:07:11 PST,+63.8984,+90
2013-02-22 04:07:16 PST,+63.9007,+90
2013-02-22 04:07:21 PST,+63.9031,+90
2013-02-22 04:07:26 PST,+63.9055,+90
2013-02-22 04:07:31 PST,+63.9078,+90
2013-02-22 04:07:36 PST,+63.9102,+90
2013-02-22 04:07:41 PST,+63.9125,+90
2013-02-22 04:07:46 PST,+63.9149,+90
2013-02-22 04:07:51 PST,+63.9172,+90
2013-02-22 04:07:56 PST,+63.9196,+90
2013-02-22 04:08:01 PST,+63.9219,+90
2013-02-22 04:08:06 PST,+63.9243,+90
2013-02-22 04:08:11 PST,+63.9266,+90
2013-02-22 04:08:16 PST,+63.929,+90
2013-02-22 04:08:21 PST,+63.9313,+90
2013-02-22 04:08:26 PST,+63.9336,+90
2013-02-22 04:08:31 PST,+63.936,+90
2013-02-22 04:08:36 PST,+63.9383,+90
2013-02-22 04:08:41 PST,+63.9407,+90
2013-02-22 04:08:46 PST,+63.943,+90
2013-02-22 04:08:51 PST,+63.9453,+90
2013-02-22 04:08:56 PST,+63.9477,+90
2013-02-22 04:09:01 PST,+63.95,+90
2013-02-22 04:09:06 PST,+63.9524,+90
2013-02-22 04:09:11 PST,+63.9547,+90
2013-02-22 04:09:16 PST,+63.957,+90
2013-02-22 04:09:21 PST,+63.9594,+90
2013-02-22 04:09:26 PST,+63.9617,+90
2013-02-22 04:09:31 PST,+63.964,+90
2013-02-22 04:09:36 PST,+63.9664,+90
2013-02-22 04:09:41 PST,+63.9687,+90
2013-02-22 04:09:46 PST,+63.971,+90
2013-02-22 04:09:51 PST,+63.9733,+90
2013-02-22 04:09:56 PST,+63.9757,+90
2013-02-22 04:10:01 PST,+63.978,+90
2013-02-22 04:10:06 PST,+63.9803,+90
2013-02-22 04:10:11 PST,+63.9826,+90
2013-02-22 04:10:16 PST,+63.985,+90
2013-02-22 04:10:21 PST,+63.9873,+90
2013-02-22 04:10:26 PST,+63.9896,+90
2013-02-22 04:10:31 PST,+63.9919,+90
2013-02-22 04:10:36 PST,+63.9943,+90
2013-02-22 04:10:41 PST,+63.9966,+90
2013-02-22 04:10:46 PST,+63.9989,+90
2013-02-22 04:10:51 PST,+64.0012,+90
2013-02-22 04:10:56 PST,+64.0035,+90
2013-02-22 04:11:01 PST,+64.0059,+90
2013-02-22 04:11:06 PST,+64.0082,+90
2013-02-22 04:11:11 PST,+64.0105,+90
2013-02-22 04:11:16 PST,+64.0128,+90
2013-02-22 04:11:21 PST,+64.0151,+90
2013-02-22 04:11:26 PST,+64.0174,+90
2013-02-22 04:11:31 PST,+64.0197,+90
2013-02-22 04:11:36 PST,+64.0221,+90
2013-02-22 04:11:41 PST,+64.0244,+90
2013-02-22 04:11:46 PST,+64.0267,+90
2013-02-22 04:11:51 PST,+64.029,+90
2013-02-22 04:11:56 PST,+64.0313,+90
2013-02-22 04:12:01 PST,+64.0336,+90
2013-02-22 04:12:06 PST,+64.0359,+90
2013-02-22 04:12:11 PST,+64.0382,+90
2013-02-22 04:12:16 PST,+64.0405,+90
2013-02-22 04:12:21 PST,+64.0428,+90
2013-02-22 04:12:26 PST,+64.0451,+90
2013-02-22 04:12:31 PST,+64.0474,+90
2013-02-22 04:12:36 PST,+64.0497,+90
2013-02-22 04:12:41 PST,+64.0521,+90
2013-02-22 04:12:46 PST,+64.0544,+90
2013-02-22 04:12:51 PST,+64.0567,+90
2013-02-22 04:12:56 PST,+64.059,+90
2013-02-22 04:13:01 PST,+64.0613,+90
2013-02-22 04:13:06 PST,+64.0636,+90
2013-02-22 04:13:11 PST,+64.0659,+90
2013-02-22 04:13:16 PST,+64.0682,+90
2013-02-22 04:13:21 PST,+64.0705,+90
2013-02-22 04:13:26 PST,+64.0728,+90
2013-02-22 04:13:31 PST,+64.0751,+90
2013-02-22 04:13:36 PST,+64.0774,+90
2013-02-22 04:13:41 PST,+64.0797,+90
2013-02-22 04:13:46 PST,+64.0819,+90
2013-02-22 04:13:51 PST,+64.0842,+90
2013-02-22 04:13:56 PST,+64.0865,+90
2013-02-22 04:14:01 PST,+64.0888,+90
2013-02-22 04:14:06 PST,+64.0911,+90
2013-02-22 04:14:11 PST,+64.0934,+90
2013-02-22 04:14:16 PST,+64.0957,+90
2013-02-22 04:14:21 PST,+64.098,+90
2013-02-22 04:14:26 PST,+64.1003,+90
2013-02-22 04:14:31 PST,+64.1026,+90
2013-02-22 04:14:36 PST,+64.1049,+90
2013-02-22 04:14:41 PST,+64.1072,+90
2013-02-22 04:14:46 PST,+64.1095,+90
2013-02-22 04:14:51 PST,+64.1117,+90
2013-02-22 04:14:56 PST,+64.114,+90
2013-02-22 04:15:01 PST,+64.1163,+90
2013-02-22 04:15:06 PST,+64.1186,+90
# end of tape
